gId,filename,catalog_timestamp_utc,station,event_id,case_type,status,on_disk,size_bytes,opens,has_CMK,has_Latitude,has_Longitude,has_time,time_utc_decoded,time_vs_catalog_minutes,satellite_name,sensor_name,manifest_match,error
7646006,3RIMG_10SEP2019_1615_L2B_CMK_V01R00.h5,2019-09-10T16:15:00Z,VABB,VABB_CTL_01_20190924T13,control,OK,True,9590415,True,True,True,True,True,2019-09-10T16:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7646289,3RIMG_10SEP2019_2315_L2B_CMK_V01R00.h5,2019-09-10T23:15:00Z,VABB,VABB_CTL_01_20190924T13,control,OK,True,9633366,True,True,True,True,True,2019-09-10T23:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7646554,3RIMG_11SEP2019_0115_L2B_CMK_V01R00.h5,2019-09-11T01:15:00Z,VABB,VABB_CTL_01_20190924T13,control,OK,True,9629194,True,True,True,True,True,2019-09-11T01:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7646834,3RIMG_11SEP2019_0345_L2B_CMK_V01R00.h5,2019-09-11T03:45:00Z,VABB,VABB_CTL_01_20190924T13,control,OK,True,9618198,True,True,True,True,True,2019-09-11T03:45:00Z,0.0,INSAT-3DR,IMAGER,True,
7679852,3RIMG_24SEP2019_1115_L2B_CMK_V01R00.h5,2019-09-24T11:15:00Z,VABB,VABB_TS_01_20190924T13,thunderstorm_episode,OK,True,9099829,True,True,True,True,True,2019-09-24T11:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7680258,3RIMG_24SEP2019_1415_L2B_CMK_V01R00.h5,2019-09-24T14:15:00Z,VABB,VABB_TS_01_20190924T13,thunderstorm_episode,OK,True,9081849,True,True,True,True,True,2019-09-24T14:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7680747,3RIMG_24SEP2019_1632_L2B_CMK_V01R00.h5,2019-09-24T16:32:00Z,VABB,VABB_TS_01_20190924T13,thunderstorm_episode,MISSING_DOWNLOAD,False,,False,False,False,False,False,,,,,False,prior_dns_network_error_do_not_retry
7682309,3RIMG_24SEP2019_2232_L2B_CMK_V01R00.h5,2019-09-24T22:32:00Z,VABB,VABB_TS_01_20190924T13,thunderstorm_episode,OK,True,9082536,True,True,True,True,True,2019-09-24T22:32:00Z,0.0,INSAT-3DR,IMAGER,True,
7681358,3RIMG_25SEP2019_0136_L2B_CMK_V01R00.h5,2019-09-25T01:36:00Z,VABB,VABB_TS_01_20190924T13,thunderstorm_episode,OK,True,9085015,True,True,True,True,True,2019-09-25T01:36:00Z,0.0,INSAT-3DR,IMAGER,True,
7682224,3RIMG_25SEP2019_0358_L2B_CMK_V01R00.h5,2019-09-25T03:58:00Z,VABB,VABB_TS_01_20190924T13,thunderstorm_episode,OK,True,9087234,True,True,True,True,True,2019-09-25T03:58:00Z,0.0,INSAT-3DR,IMAGER,True,
9839624,3RIMG_24DEC2021_1715_L2B_CMK_V01R00.h5,2021-12-24T17:15:00Z,VIDP,VIDP_CTL_03_20220107T19,control,OK,True,9571680,True,True,True,True,True,2021-12-24T17:15:00Z,0.0,INSAT-3DR,IMAGER,True,
9839792,3RIMG_24DEC2021_1915_L2B_CMK_V01R00.h5,2021-12-24T19:15:00Z,VIDP,VIDP_CTL_03_20220107T19,control,OK,True,9586817,True,True,True,True,True,2021-12-24T19:15:00Z,0.0,INSAT-3DR,IMAGER,True,
