station,event_id,case_type,event_start_utc,event_end_utc,satellite_window_start_utc,satellite_window_end_utc,catalog_timestamp_utc,filename,gId,availability_status
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T19:45:00Z,3RIMG_13AUG2018_1945_L2B_CMK_V01R00.h5,6381767,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T20:15:00Z,3RIMG_13AUG2018_2015_L2B_CMK_V01R00.h5,6381780,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T20:45:00Z,3RIMG_13AUG2018_2045_L2B_CMK_V01R00.h5,6381802,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T21:15:00Z,3RIMG_13AUG2018_2115_L2B_CMK_V01R00.h5,6381825,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T21:45:00Z,3RIMG_13AUG2018_2145_L2B_CMK_V01R00.h5,6381859,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T22:15:00Z,3RIMG_13AUG2018_2215_L2B_CMK_V01R00.h5,6381896,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T22:45:00Z,3RIMG_13AUG2018_2245_L2B_CMK_V01R00.h5,6381929,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T23:15:00Z,3RIMG_13AUG2018_2315_L2B_CMK_V01R00.h5,6381979,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T23:45:00Z,3RIMG_13AUG2018_2345_L2B_CMK_V01R00.h5,6382029,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T00:15:00Z,3RIMG_14AUG2018_0015_L2B_CMK_V01R00.h5,6382065,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T00:45:00Z,3RIMG_14AUG2018_0045_L2B_CMK_V01R00.h5,6382106,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T01:15:00Z,3RIMG_14AUG2018_0115_L2B_CMK_V01R00.h5,6382142,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T01:45:00Z,3RIMG_14AUG2018_0145_L2B_CMK_V01R00.h5,6382194,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T02:15:00Z,3RIMG_14AUG2018_0215_L2B_CMK_V01R00.h5,6382232,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T02:45:00Z,3RIMG_14AUG2018_0245_L2B_CMK_V01R00.h5,6382277,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T03:15:00Z,3RIMG_14AUG2018_0315_L2B_CMK_V01R00.h5,6382336,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T03:45:00Z,3RIMG_14AUG2018_0345_L2B_CMK_V01R00.h5,6382384,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T04:15:00Z,3RIMG_14AUG2018_0415_L2B_CMK_V01R00.h5,6382433,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T04:45:00Z,3RIMG_14AUG2018_0445_L2B_CMK_V01R00.h5,6382503,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-14T05:15:00Z,3RIMG_14AUG2018_0515_L2B_CMK_V01R00.h5,6382695,AVAILABLE
