grain,event_id,station,case_type,event_start_utc,event_end_utc,period,target_timestamp_utc,hourly_timestamp_utc,sat_observation_time_utc,sat_acquisition_end_utc,sat_age_minutes,sat_cloud_mask_at_station,sat_cloud_mask_class,sat_cloudy_fraction_25km,sat_clear_fraction_25km,sat_valid_pixel_count_25km,sat_observation_available,gId,source_filename,in_phase8b_hourly_universe
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T18:00:00Z,2025-06-14T18:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T19:00:00Z,2025-06-14T19:00:00Z,2025-06-14T18:15:00Z,2025-06-14T18:42:31Z,17.483333333333334,1.0,,1.0,0.0,108.0,1,15683541.0,3RIMG_14JUN2025_1815_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T20:00:00Z,2025-06-14T20:00:00Z,2025-06-14T18:15:00Z,2025-06-14T18:42:31Z,77.48333333333333,1.0,,1.0,0.0,108.0,1,15683541.0,3RIMG_14JUN2025_1815_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T21:00:00Z,2025-06-14T21:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T22:00:00Z,2025-06-14T22:00:00Z,2025-06-14T21:15:00Z,2025-06-14T21:42:30Z,17.5,1.0,,1.0,0.0,108.0,1,15684365.0,3RIMG_14JUN2025_2115_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T23:00:00Z,2025-06-14T23:00:00Z,2025-06-14T21:15:00Z,2025-06-14T21:42:30Z,77.5,1.0,,1.0,0.0,108.0,1,15684365.0,3RIMG_14JUN2025_2115_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-15T00:00:00Z,2025-06-15T00:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-15T01:00:00Z,2025-06-15T01:00:00Z,2025-06-15T00:15:00Z,2025-06-15T00:42:30Z,17.5,1.0,,1.0,0.0,108.0,1,15685171.0,3RIMG_15JUN2025_0015_L2B_CMK_V01R00.h5,True
scan,VECC_CTL_01_20170619T10,VECC,control,2017-06-05T10:00:00Z,2017-06-06T01:00:00Z,pre_event,2017-06-05T10:00:00Z,,2017-06-05T08:15:00Z,2017-06-05T08:42:08Z,77.867,2.0,Probably_Clear,0.0,1.0,98.0,1,5042102,3RIMG_05JUN2017_0815_L2B_CMK_V01R00.h5,False
scan,VECC_CTL_01_20170619T10,VECC,control,2017-06-05T10:00:00Z,2017-06-06T01:00:00Z,event,2017-06-05T10:00:00Z,,2017-06-05T12:15:00Z,2017-06-05T12:42:08Z,-162.133,1.0,Cloudy,1.0,0.0,98.0,1,5042514,3RIMG_05JUN2017_1215_L2B_CMK_V01R00.h5,False
scan,VECC_CTL_01_20170619T10,VECC,control,2017-06-05T10:00:00Z,2017-06-06T01:00:00Z,event,2017-06-05T10:00:00Z,,2017-06-05T15:15:00Z,2017-06-05T15:42:08Z,-342.133,1.0,Cloudy,1.0,0.0,98.0,1,5042834,3RIMG_05JUN2017_1515_L2B_CMK_V01R00.h5,False
scan,VECC_CTL_01_20170619T10,VECC,control,2017-06-05T10:00:00Z,2017-06-06T01:00:00Z,event,2017-06-05T10:00:00Z,,2017-06-05T19:45:00Z,2017-06-05T20:12:08Z,-612.133,0.0,Clear,0.7959183673469388,0.2040816326530612,98.0,1,5043286,3RIMG_05JUN2017_1945_L2B_CMK_V01R00.h5,False
scan,VECC_CTL_01_20170619T10,VECC,control,2017-06-05T10:00:00Z,2017-06-06T01:00:00Z,event,2017-06-05T10:00:00Z,,2017-06-05T22:45:00Z,2017-06-05T23:12:08Z,-792.133,1.0,Cloudy,1.0,0.0,98.0,1,5043574,3RIMG_05JUN2017_2245_L2B_CMK_V01R00.h5,False
scan,VECC_CTL_01_20170619T10,VECC,control,2017-06-05T10:00:00Z,2017-06-06T01:00:00Z,post_event,2017-06-05T10:00:00Z,,2017-06-06T02:45:00Z,2017-06-06T03:12:09Z,-1032.15,1.0,Cloudy,1.0,0.0,98.0,1,5044268,3RIMG_06JUN2017_0245_L2B_CMK_V01R00.h5,False
scan,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,pre_event,2024-04-22T13:00:00Z,,2024-04-22T11:15:00Z,2024-04-22T11:42:29Z,77.517,3.0,Probably_Cloudy,0.6326530612244898,0.3673469387755102,98.0,1,13452103,3RIMG_22APR2024_1115_L2B_CMK_V01R00.h5,True
scan,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T13:00:00Z,,2024-04-22T14:45:00Z,2024-04-22T15:12:29Z,-132.483,0.0,Clear,0.4285714285714285,0.5714285714285714,98.0,1,13452631,3RIMG_22APR2024_1445_L2B_CMK_V01R00.h5,True
scan,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T13:00:00Z,,2024-04-22T16:45:00Z,2024-04-22T17:12:29Z,-252.483,1.0,Cloudy,0.8061224489795918,0.1938775510204081,98.0,1,13453089,3RIMG_22APR2024_1645_L2B_CMK_V01R00.h5,True
scan,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T13:00:00Z,,2024-04-22T23:15:00Z,2024-04-22T23:42:30Z,-642.5,2.0,Probably_Clear,0.2244897959183673,0.7755102040816326,98.0,1,13454345,3RIMG_22APR2024_2315_L2B_CMK_V01R00.h5,True
scan,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,post_event,2024-04-22T13:00:00Z,,2024-04-23T01:15:00Z,2024-04-23T01:42:29Z,-762.483,3.0,Probably_Cloudy,0.5510204081632653,0.4489795918367347,98.0,1,13454773,3RIMG_23APR2024_0115_L2B_CMK_V01R00.h5,True
scan,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,post_event,2024-04-22T13:00:00Z,,2024-04-23T02:45:00Z,2024-04-23T03:12:29Z,-852.483,2.0,Probably_Clear,0.0816326530612244,0.9183673469387756,98.0,1,13455117,3RIMG_23APR2024_0245_L2B_CMK_V01R00.h5,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T13:00:00Z,2024-04-22T13:00:00Z,2024-04-22T11:15:00Z,2024-04-22T11:42:29Z,77.51666666666667,3.0,,0.6326530612244898,0.3673469387755102,98.0,1,13452103.0,3RIMG_22APR2024_1115_L2B_CMK_V01R00.h5,True
hourly_causal,VECC_CTL_04_20240506T13,VECC,control,2024-04-22T13:00:00Z,2024-04-23T01:00:00Z,event,2024-04-22T14:00:00Z,2024-04-22T14:00:00Z,,,,,,,,,0,,,True
