filename,n_events,n_groups,n_flashes,min_latitude,max_latitude,min_longitude,max_longitude,observation_start_time,observation_end_time,n_valid_geolocated_observations,open_backend
TRMM_LIS_SC.05.0_2014.004.91924.nc,9431,2009,176,-21.601207733154297,3.9515221118927,-70.77346801757812,129.9991455078125,2014-01-04T17:59:41.238498+00:00,2014-01-04T19:02:49.529742+00:00,176,netCDF4
TRMM_LIS_SC.05.0_2014.004.91925.nc,15316,3973,411,-35.07984161376953,7.688307285308838,-77.59480285644531,115.43678283691406,2014-01-04T19:16:42.455005+00:00,2014-01-04T20:44:09.509647+00:00,411,netCDF4
TRMM_LIS_SC.05.0_2014.004.91926.nc,3089,666,43,-33.63676071166992,-14.36886978149414,-64.0828857421875,53.47616958618164,2014-01-04T20:53:43.030536+00:00,2014-01-04T22:12:52.715030+00:00,43,netCDF4
TRMM_LIS_SC.05.0_2014.004.91927.nc,2507,552,51,-26.159934997558594,-13.24488353729248,18.727819442749023,41.394676208496094,2014-01-04T22:31:35.305866+00:00,2014-01-04T22:39:10.819659+00:00,51,netCDF4
TRMM_LIS_SC.05.0_2014.004.91928.nc,14144,2233,154,-14.801701545715332,0.2595402002334595,-143.13328552246094,29.49085807800293,2014-01-05T00:10:47.431384+00:00,2014-01-05T01:07:54.968051+00:00,154,netCDF4
TRMM_LIS_SC.05.0_2014.005.91929.nc,3681,868,47,-33.65373611450195,26.802080154418945,-56.3555908203125,174.9855194091797,2014-01-05T01:29:30.737247+00:00,2014-01-05T02:33:47.075824+00:00,47,netCDF4
TRMM_LIS_SC.05.0_2014.005.91930.nc,7462,1659,119,-25.016220092773438,32.11708450317383,-55.29138946533203,163.2057647705078,2014-01-05T03:09:05.330081+00:00,2014-01-05T04:09:55.038577+00:00,119,netCDF4
TRMM_LIS_SC.05.0_2014.005.91931.nc,11068,2833,309,-15.411786079406738,33.54230880737305,-60.39404296875,146.61947631835938,2014-01-05T04:46:32.370395+00:00,2014-01-05T05:45:58.568622+00:00,309,netCDF4
TRMM_LIS_SC.05.0_2014.005.91932.nc,27181,6919,1143,-26.755653381347656,32.72742462158203,-47.88494873046875,150.88409423828125,2014-01-05T06:30:11.104388+00:00,2014-01-05T07:25:48.429461+00:00,1143,netCDF4
TRMM_LIS_SC.05.0_2014.005.91933.nc,3877,1055,94,-24.026992797851562,31.6666316986084,-77.81449127197266,121.5138931274414,2014-01-05T08:00:09.791125+00:00,2014-01-05T08:56:46.106189+00:00,94,netCDF4
TRMM_LIS_SC.05.0_2014.005.91934.nc,4458,1231,73,19.198139190673828,23.636455535888672,-85.04082489013672,-80.75729370117188,2014-01-05T09:38:00.261142+00:00,2014-01-05T09:41:01.230166+00:00,73,netCDF4
TRMM_LIS_SC.05.0_2014.005.91935.nc,580,118,10,-13.122797012329102,13.522950172424316,-113.66218566894531,55.57322692871094,2014-01-05T11:09:32.387591+00:00,2014-01-05T11:56:12.106357+00:00,10,netCDF4
TRMM_LIS_SC.05.0_2014.005.91936.nc,32227,7920,817,-24.90099334716797,-2.286039352416992,14.527921676635742,48.1675910949707,2014-01-05T13:21:38.964206+00:00,2014-01-05T13:33:26.355395+00:00,817,netCDF4
TRMM_LIS_SC.05.0_2014.005.91938.nc,9645,2178,150,-32.91975402832031,28.015544891357422,-161.38333129882812,156.7062225341797,2014-01-05T15:36:21.056796+00:00,2014-01-05T16:45:05.141772+00:00,150,netCDF4
TRMM_LIS_SC.05.0_2014.005.91939.nc,9771,2717,277,-33.2828369140625,3.4758803844451904,-66.23651123046875,130.9507598876953,2014-01-05T17:05:25.931033+00:00,2014-01-05T18:21:02.759021+00:00,277,netCDF4
TRMM_LIS_SC.05.0_2014.005.91940.nc,20786,5900,802,-24.46929359436035,5.427011489868164,-78.66719818115234,114.73138427734375,2014-01-05T18:41:47.050540+00:00,2014-01-05T19:43:11.708652+00:00,802,netCDF4
TRMM_LIS_SC.05.0_2014.005.91941.nc,4541,1170,86,-33.22429275512695,32.54766082763672,-156.7183837890625,143.73068237304688,2014-01-05T19:57:26.581851+00:00,2014-01-05T21:18:19.323398+00:00,86,netCDF4
TRMM_LIS_SC.05.0_2014.005.91942.nc,3013,539,52,-34.72248077392578,21.625045776367188,-158.46749877929688,60.48408126831055,2014-01-05T21:34:29.832324+00:00,2014-01-05T22:58:18.452533+00:00,52,netCDF4
TRMM_LIS_SC.05.0_2014.005.91943.nc,17420,3197,210,-35.60343933105469,-8.943805694580078,-46.75859451293945,25.088436126708984,2014-01-05T22:58:59.673129+00:00,2014-01-05T23:18:11.011401+00:00,210,netCDF4
TRMM_LIS_SC.05.0_2014.006.91944.nc,NA,NA,NA,-38.25,38.25,-179.75,179.75,2014-01-06T00:30:43.100000+00:00,2014-01-06T00:30:43.100000+00:00,19205,netCDF4
TRMM_LIS_SC.05.0_2014.006.91945.nc,630,199,29,-24.561479568481445,4.2381486892700195,-49.6158332824707,174.96630859375,2014-01-06T02:14:25.974857+00:00,2014-01-06T03:18:22.478717+00:00,29,netCDF4
TRMM_LIS_SC.05.0_2014.006.91946.nc,4481,1178,83,-35.2396125793457,7.881303310394287,-105.1462173461914,151.0530548095703,2014-01-06T03:38:34.494586+00:00,2014-01-06T04:50:10.454120+00:00,83,netCDF4
TRMM_LIS_SC.05.0_2014.006.91947.nc,27488,7333,774,-28.69561004638672,36.709571838378906,12.629495620727539,153.91636657714844,2014-01-06T05:51:41.462024+00:00,2014-01-06T06:31:23.397250+00:00,774,netCDF4
TRMM_LIS_SC.05.0_2014.006.91948.nc,6822,1394,83,-23.8424129486084,33.73875427246094,-77.81866455078125,120.59246826171875,2014-01-06T07:04:24.791110+00:00,2014-01-06T08:00:55.874210+00:00,83,netCDF4
TRMM_LIS_SC.05.0_2014.006.91949.nc,87,24,2,-0.200238898396492,-0.056783270090818405,62.59593963623047,62.61355209350586,2014-01-06T09:21:02.556445+00:00,2014-01-06T09:21:02.556445+00:00,2,netCDF4
TRMM_LIS_SC.05.0_2014.006.91950.nc,379,90,7,-10.72826862335205,-6.583318710327148,53.45555114746094,59.170284271240234,2014-01-06T10:57:46.661639+00:00,2014-01-06T11:00:42.314746+00:00,7,netCDF4
TRMM_LIS_SC.05.0_2014.006.91951.nc,24801,5622,563,-28.705224990844727,37.2670783996582,-71.8102798461914,158.79603576660156,2014-01-06T11:24:33.714847+00:00,2014-01-06T12:37:37.711948+00:00,563,netCDF4
TRMM_LIS_SC.05.0_2014.006.91954.nc,5000,1384,155,-32.30009078979492,4.562741279602051,-58.796932220458984,134.6819610595703,2014-01-06T16:11:10.699588+00:00,2014-01-06T17:24:50.516284+00:00,155,netCDF4
TRMM_LIS_SC.05.0_2014.006.91955.nc,22265,6061,693,-27.17423439025879,30.03075408935547,-84.7833480834961,170.17312622070312,2014-01-06T17:44:44.251621+00:00,2014-01-06T18:49:18.347858+00:00,693,netCDF4
TRMM_LIS_SC.05.0_2014.006.91956.nc,16325,4141,557,-33.377540588378906,25.669084548950195,-141.90501403808594,100.2325210571289,2014-01-06T19:02:06.785968+00:00,2014-01-06T20:24:39.837940+00:00,557,netCDF4
TRMM_LIS_SC.05.0_2014.006.91957.nc,6474,1186,82,-22.61507225036621,20.752613067626953,-152.23065185546875,58.056297302246094,2014-01-06T20:43:40.915149+00:00,2014-01-06T21:34:14.704700+00:00,82,netCDF4
TRMM_LIS_SC.05.0_2014.006.91958.nc,235,46,10,-10.405468940734863,27.85582733154297,31.240488052368164,96.42927551269531,2014-01-06T22:22:48.093005+00:00,2014-01-06T22:42:35.596927+00:00,10,netCDF4
TRMM_LIS_SC.05.0_2014.006.91959.nc,2324,632,72,-0.590950071811676,25.901819229125977,22.027036666870117,53.90764236450195,2014-01-07T00:00:09.325317+00:00,2014-01-07T00:11:39.595978+00:00,72,netCDF4
TRMM_LIS_SC.05.0_2014.007.91960.nc,2623,878,141,-29.2910099029541,28.373384475708008,-55.5595703125,109.7744140625,2014-01-07T01:15:49.346237+00:00,2014-01-07T02:01:40.827637+00:00,141,netCDF4
TRMM_LIS_SC.05.0_2014.007.91961.nc,6987,1717,112,-18.368541717529297,33.013336181640625,-52.478885650634766,152.1523895263672,2014-01-07T02:55:38.762878+00:00,2014-01-07T03:54:45.814423+00:00,112,netCDF4
TRMM_LIS_SC.05.0_2014.007.91962.nc,8425,2135,219,-24.580163955688477,37.08256530761719,-70.0000991821289,151.6806182861328,2014-01-07T04:29:39.612488+00:00,2014-01-07T05:34:47.217636+00:00,219,netCDF4
TRMM_LIS_SC.05.0_2014.007.91963.nc,2054,478,41,-7.546753883361816,36.84307861328125,-75.57113647460938,108.76618194580078,2014-01-07T06:09:06.666824+00:00,2014-01-07T07:00:23.135712+00:00,41,netCDF4
TRMM_LIS_SC.05.0_2014.007.91964.nc,1216,236,19,6.915175914764404,8.685721397399902,-85.47834777832031,-84.64285278320312,2014-01-07T07:44:59.740784+00:00,2014-01-07T07:46:24.560806+00:00,19,netCDF4
TRMM_LIS_SC.05.0_2014.007.91965.nc,2410,398,14,-19.114870071411133,-11.396602630615234,-150.58499145507812,71.6928482055664,2014-01-07T09:04:13.697891+00:00,2014-01-07T10:08:10.408203+00:00,14,netCDF4
TRMM_LIS_SC.05.0_2014.007.91966.nc,24965,6565,747,-20.262760162353516,0.0015790831530466676,24.469980239868164,49.56719970703125,2014-01-07T11:32:25.337708+00:00,2014-01-07T11:41:47.981461+00:00,747,netCDF4
TRMM_LIS_SC.05.0_2014.007.91967.nc,12665,3413,313,-26.502513885498047,-0.9926131367683411,5.037083148956299,166.6203155517578,2014-01-07T12:04:55.518799+00:00,2014-01-07T13:20:05.442093+00:00,313,netCDF4
TRMM_LIS_SC.05.0_2014.007.91969.nc,9951,2158,187,-32.919219970703125,0.32844817638397217,-49.95378112792969,142.80186462402344,2014-01-07T15:18:16.499924+00:00,2014-01-07T16:30:17.070694+00:00,187,netCDF4
TRMM_LIS_SC.05.0_2014.007.91970.nc,20556,5889,669,-18.367015838623047,0.17361637949943542,-62.117919921875,122.86900329589844,2014-01-07T16:51:51.402420+00:00,2014-01-07T17:50:08.913391+00:00,669,netCDF4
TRMM_LIS_SC.05.0_2014.007.91971.nc,17048,4964,610,-33.397098541259766,33.05119705200195,-76.20488739013672,169.2831573486328,2014-01-07T18:05:12.956375+00:00,2014-01-07T19:28:52.222183+00:00,610,netCDF4
TRMM_LIS_SC.05.0_2014.007.91972.nc,35507,10188,1271,-34.268218994140625,7.2735514640808105,-125.19257354736328,74.9681396484375,2014-01-07T19:43:40.382019+00:00,2014-01-07T21:07:16.906525+00:00,1271,netCDF4
TRMM_LIS_SC.05.0_2014.007.91973.nc,7198,1633,130,-15.876365661621094,28.16478729248047,25.031587600708008,177.39939880371094,2014-01-07T21:24:55.598938+00:00,2014-01-07T22:06:05.310883+00:00,130,netCDF4
TRMM_LIS_SC.05.0_2014.007.91974.nc,10750,2989,265,-37.87974166870117,-5.2934136390686035,-143.37709045410156,20.19562339782715,2014-01-07T22:42:48.207047+00:00,2014-01-07T23:58:17.029999+00:00,265,netCDF4
